0.00,0.00,17.99,162.22,342.04,197.78,342.22,197.99,17.78,162.01
3.52,356.40,17.99,162.02,342.02,197.98,342.02,197.99,17.98,162.01
3.03,352.52,17.95,162.02,342.07,197.98,342.04,197.99,17.96,162.01
2.70,348.61,17.80,162.02,343.43,197.98,342.19,197.99,17.81,162.01
8.60,344.69,17.86,162.02,342.17,197.98,342.15,197.99,17.85,162.01
27.58,340.78,18.41,162.02,341.43,197.98,342.14,197.99,17.86,162.01
28.15,336.87,18.70,162.02,341.43,197.98,342.08,197.99,17.92,162.01
28.20,332.95,18.73,162.02,341.14,197.98,342.02,197.99,17.98,162.01
28.32,329.04,18.77,162.02,341.27,197.98,342.02,197.99,17.98,162.01
28.72,325.13,18.93,162.02,341.10,197.98,342.09,197.99,17.91,162.01
28.49,321.21,18.86,162.02,341.19,197.98,342.27,197.99,17.73,162.01
28.69,317.30,18.86,162.02,341.42,197.98,342.50,197.99,17.50,162.01
32.78,313.39,17.97,162.02,341.43,197.98,342.50,197.99,17.50,162.01
37.94,309.48,18.79,162.02,341.29,197.98,342.45,197.99,17.55,162.01
39.05,306.85,17.51,162.02,342.19,197.98,342.46,197.98,17.39,162.02
43.19,302.70,17.43,162.02,341.31,197.98,342.59,197.98,17.39,162.02
47.23,298.67,17.56,162.02,341.93,197.98,342.59,197.99,17.41,162.01
55.51,293.90,17.55,162.02,341.93,197.98,342.33,197.99,17.67,162.01
55.87,290.04,17.23,162.02,342.43,197.98,342.52,197.99,17.48,162.01
59.42,286.49,17.12,162.02,342.52,197.98,342.58,197.99,17.42,162.01
62.62,283.28,17.08,162.02,342.47,197.98,342.61,197.98,17.39,162.02
66.51,279.39,17.85,162.02,342.38,197.98,342.61,197.98,17.39,162.02
71.63,274.36,17.50,162.02,341.77,197.98,342.56,197.99,17.44,162.01
81.87,270.35,17.98,162.02,341.95,197.98,342.19,197.99,17.81,162.01
81.90,266.43,17.64,162.02,341.76,197.98,342.35,197.99,17.65,162.01
83.07,262.83,16.86,162.02,341.75,197.98,342.54,197.99,17.46,162.01
86.63,259.27,16.56,162.02,342.57,197.98,342.56,197.99,17.44,162.01
92.00,254.75,17.00,162.02,342.03,197.98,342.50,197.99,17.50,162.01
94.93,250.98,16.55,162.02,342.05,197.98,342.53,197.99,17.47,162.01
98.76,247.15,16.73,162.02,342.13,197.98,342.55,197.99,17.45,162.01
101.95,243.95,16.63,162.02,342.14,197.98,342.59,197.98,17.41,162.02
107.76,239.12,17.52,162.02,342.07,197.98,342.49,197.99,17.51,162.01
109.62,236.28,17.38,162.02,342.53,197.98,342.49,197.98,17.39,162.02
115.27,231.31,17.50,162.02,342.50,197.98,342.28,197.99,17.49,162.01
120.15,227.31,17.48,162.02,342.02,197.98,341.57,197.99,17.55,162.01
126.68,223.39,18.37,162.02,342.08,197.98,340.53,197.99,17.71,162.01
126.40,219.51,18.06,162.02,341.98,197.98,340.72,197.99,17.49,162.01
133.18,215.57,18.00,162.02,341.99,197.98,340.82,197.99,17.63,162.01
134.54,211.65,17.79,162.02,341.87,197.98,340.92,197.99,17.51,162.01
141.51,207.74,17.67,162.02,341.78,197.98,342.29,197.99,17.66,162.01
143.77,203.82,17.31,162.02,342.35,197.98,342.40,197.99,17.60,162.01
147.57,199.91,17.29,162.02,342.41,197.98,342.40,197.99,17.60,162.01
149.18,196.72,16.93,162.02,341.80,197.98,342.57,197.99,17.43,162.01
153.31,192.59,18.69,162.02,341.74,197.98,342.59,197.99,17.41,162.01
159.45,188.21,17.69,162.02,341.35,197.98,342.44,197.99,17.56,162.01
160.88,185.01,17.69,162.02,342.00,197.98,342.58,197.99,17.42,162.01
164.93,180.97,16.99,162.02,342.03,197.98,342.58,197.99,17.42,162.01
168.24,177.65,20.12,162.02,341.71,197.98,342.34,197.99,17.39,162.01
169.67,176.26,26.41,162.05,348.16,197.95,342.66,197.95,20.15,162.05
178.30,168.99,20.71,162.02,341.12,197.98,342.50,197.99,17.76,162.01
178.09,167.83,26.23,162.02,347.11,197.98,342.68,197.97,17.71,162.03
177.46,168.61,32.76,162.17,354.02,197.84,343.22,197.82,16.88,162.18
178.36,167.93,39.28,162.36,357.82,197.68,343.56,197.68,14.44,162.32
182.98,163.24,35.59,162.35,357.04,197.69,343.55,197.71,14.73,162.29
186.73,159.48,35.77,162.35,357.23,197.69,343.55,197.70,14.60,162.30
188.30,158.16,37.92,162.49,359.97,197.58,343.69,197.56,15.45,162.44
